First name,Last name,System record ID,Date changed,Email Addresses/Email address,Email Addresses/Date changed,Todays Visitors Attribute/Value,Todays Visitors Attribute/Date changed,Addresses/Address line 1,Addresses/Address line 2,Addresses/City,Addresses/ZIP,Addresses/State abbreviation,Addresses/Country abbreviation,Phones/Number,Phones/Date changed
Herman,Hoeger,4ace6ba7-ec21-4897-ad8b-e6a87780768b,2/6/2021 4:00:43.373 PM,heho@socialgoodsoftware.com,2/6/2021 4:00:42.730 PM,Yes,,1571 Gideon Drives,Suite 529,Wiegandchester,,SD,USA,(515) 496-6071,2/6/2021 4:00:43.813 PM
Halie,Welch,0b49ef73-019c-4558-96a4-e8591a303f1d,2/6/2021 4:00:37.693 PM,h@socialgoodsoftware.com,2/6/2021 4:00:36.887 PM,Yes,,243 Christop Stream,Suite 304,Maceyborough,,ID,USA,(236) 417-4096,2/6/2021 4:00:38.040 PM
Emile,Rodriguez,d444de46-8699-47b1-8274-e8c3f8062d38,2/6/2021 3:59:20.387 PM,emirodr@socialgoodsoftware.com,2/6/2021 3:59:19.887 PM,Yes,,3462 O'Reilly Tunnel,Apt. 182,Carolinaberg,,AR,USA,(272) 637-6806,2/6/2021 3:59:20.753 PM
Hollie,Nikolaus,39970180-8e8d-49d0-b08e-f079e5a809df,2/6/2021 4:03:43.483 PM,nik@socialgoodsoftware.com,2/6/2021 4:03:42.797 PM,Yes,,4926 Trantow Walk,Apt. 975,South Janie,,DE,USA,(583) 253-0090,2/6/2021 4:03:43.877 PM
Kellie,McClure,b2172008-f370-4168-8ece-f39cfd826fff,2/6/2021 4:03:17.923 PM,mcclu@socialgoodsoftware.com,2/6/2021 4:03:17.357 PM,Yes,,7274 Mills Square,Apt. 955,Starkborough,,MS,USA,(222) 836-7933,2/6/2021 4:03:18.347 PM
Selina,Mann,d9c77a92-04f3-4cf0-80e8-f70d8bf50b58,2/6/2021 4:04:43.140 PM,selima@socialgoodsoftware.com,2/6/2021 4:04:42.710 PM,Yes,,68143 Sanford Street,Apt. 005,Dibbertchester,,MD,USA,(812) 626-4938,2/6/2021 4:04:43.513 PM
Casper,Bailey,edcf81e0-86df-4af4-add1-f7112a04613a,2/6/2021 3:58:09.460 PM,caspebail@socialgoodsoftware.com,2/6/2021 3:58:08.913 PM,Yes,,1247 Buddy Wall,Suite 689,Port Mozellview,,WV,USA,(624) 522-4805,2/6/2021 3:58:10.430 PM
Kim,Thompson,8c41417a-c8cb-46bf-ae77-fabfac3b6793,11/20/2020 7:13:23.123 PM,hello@socialgoodsoftware.com,7/1/2020 11:56:12.137 AM,Yes,11/5/2020 5:02:52.483 PM,9690 South 300 West,,Sandy,84123,UT,USA,(619) 245-3554,8/7/2020 5:51:25.620 PM
Kim,Thompson,8c41417a-c8cb-46bf-ae77-fabfac3b6793,11/20/2020 7:13:23.123 PM,hello@socialgoodsoftware.com,7/1/2020 11:56:12.137 AM,Yes,11/5/2020 5:02:52.483 PM,9690 South 300 West,,Sandy,84123,UT,USA,(801) 820-0101,9/21/2020 2:13:13.493 PM
Kim,Thompson,8c41417a-c8cb-46bf-ae77-fabfac3b6793,11/20/2020 7:13:23.123 PM,hello@socialgoodsoftware.com,7/1/2020 11:56:12.137 AM,Yes,11/5/2020 5:02:52.483 PM,9690 South 300 West,,Sandy,84123,UT,USA,6192453554,11/20/2020 7:13:19.787 PM
Angus,Schmeler,16f97426-2801-431f-8373-fcad40d0869c,2/6/2021 3:57:39.947 PM,asc@socialgoodsoftware.com,2/6/2021 3:57:39.367 PM,Yes,,887 Dickens Loaf,Suite 001,New Katharinatown,,CO,USA,(628) 391-5169,2/6/2021 3:57:40.343 PM
Marlin,Bode,4527b7b7-7957-43b5-96ab-fdab0349549b,2/6/2021 3:57:54.903 PM,bod@socialgoodsoftware.com,2/6/2021 3:57:54.450 PM,Yes,,9996 Moen Isle,Apt. 645,Macejkovichaven,,NE,USA,(286) 353-1959,2/6/2021 3:57:55.273 PM
Matias,Trucido,,,xyz@gmail.com,,,,calle 160a,calle 163,Bogota,12345,BOGOTA,CO,+(57)32-6655,
Carlos,Trucido,,,txyz@gmail.com,,,,calle 160a,calle 163,Bogota,12345,BOGOTA,CO,+(57 )32-6655,
